group_id,num_categories,total_time_seconds,max_required_no_buffer
1,5,466.994686529506,2091.5942022874415
2,3,464.04304824303836,1007.8066913407912
3,6,473.2750099687837,854.5064376882908
4,4,479.5688187517226,730.3030302012305
5,4,459.6463414770551,655.8951965371969
6,5,457.31867998838425,647.2945891225778
7,5,474.9824072699994,622.6495725814538
8,4,463.0631858529523,550.6743737763442
9,4,448.7184294196777,503.40681366599364
10,4,455.36710005719215,470.48611113602396
11,3,439.1385003668256,453.4782608618758
12,5,460.52541544195265,412.1212121611754
13,4,452.32238410273567,379.78947368612944
14,4,476.1365235946141,345.4175152524371
15,4,469.84344182303175,318.8000000231449
16,5,459.8762203822844,289.27038624672696
17,4,449.76751041132957,260.76458753942217
18,3,382.4064815277234,249.04214558671336
19,1,144.94660059688613,225.9441707729442
